Date,Name,Year,Letterboxd URI
2022-01-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2022-01-05,La La Land,2016,https://boxd.it/a5fa
2022-01-05,The Social Network,2010,https://boxd.it/17ue
2022-01-05,Django Unchained,2012,https://boxd.it/2cCk
2022-01-05,The Truman Show,1998,https://boxd.it/18U8
2022-01-05,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2022-01-05,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2022-01-05,The Empire Strikes Back,1980,https://boxd.it/27Vw
2022-01-05,Up,2009,https://boxd.it/1OEc
2022-01-05,No Country for Old Men,2007,https://boxd.it/21ew
2022-01-05,WALL·E,2008,https://boxd.it/1VEo
2022-01-05,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2022-01-05,Good Will Hunting,1997,https://boxd.it/2ahY
2022-01-05,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2022-01-05,Shaun of the Dead,2004,https://boxd.it/29J8
2022-01-05,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2022-01-05,Hot Fuzz,2007,https://boxd.it/2416
2022-01-05,Twin Peaks,1989,https://boxd.it/g8pk
2022-09-12,About Time,2013,https://boxd.it/43bI
2022-09-21,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2022-09-21,Interstellar,2014,https://boxd.it/4VZ8
2022-09-23,Drive My Car,2021,https://boxd.it/sv94
2022-09-23,Little Miss Sunshine,2006,https://boxd.it/29EW
2022-10-31,Barbarian,2022,https://boxd.it/yohi
2022-11-02,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8
2022-11-04,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2022-12-13,Pitch Perfect,2012,https://boxd.it/3OsE
2022-12-17,Spirited Away,2001,https://boxd.it/2b4m
2022-12-18,The Wind Rises,2013,https://boxd.it/4JQS
2022-12-24,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-12-26,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE
2022-12-26,Bullet Train,2022,https://boxd.it/qW26
2022-12-26,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO
2023-01-02,North by Northwest,1959,https://boxd.it/2aRM
2023-01-04,The Lobster,2015,https://boxd.it/7tnw
2023-01-04,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq
2023-01-09,Gone Girl,2014,https://boxd.it/6hQu
2023-01-09,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2023-01-18,The Menu,2022,https://boxd.it/lScm
2023-01-18,The Worst Person in the World,2021,https://boxd.it/oyws
2023-02-07,Thank You for Smoking,2005,https://boxd.it/1YOc
2023-02-13,Fire of Love,2022,https://boxd.it/yoPY
2023-02-19,All the President's Men,1976,https://boxd.it/29lU
2023-02-19,The Prestige,2006,https://boxd.it/293w
2023-03-11,Aftersun,2022,https://boxd.it/Arw0
2023-03-13,Point Break,1991,https://boxd.it/2958
2023-03-16,Nathan for You: Finding Frances,2017,https://boxd.it/hufy
2023-03-16,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2023-03-18,Superbad,2007,https://boxd.it/20hO
2023-03-21,Midsommar,2019,https://boxd.it/jhxe
2023-04-11,Into the Wild,2007,https://boxd.it/22m2
2023-04-12,Spotlight,2015,https://boxd.it/a84k
2023-04-24,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2023-05-04,Nightcrawler,2014,https://boxd.it/780m
2023-05-04,Moneyball,2011,https://boxd.it/glS
2023-05-04,The Lego Movie,2014,https://boxd.it/4pDO
2023-05-05,Lady Bird,2017,https://boxd.it/dGNE
2023-05-08,Fight Club,1999,https://boxd.it/2a9q
2023-05-11,(500) Days of Summer,2009,https://boxd.it/1EmM
2023-05-17,After Hours,1985,https://boxd.it/1VfS
2023-05-17,Monster House,2006,https://boxd.it/1Z2e
2023-05-17,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ
2023-05-17,Child's Play,1988,https://boxd.it/1VTo
2023-05-24,Persona,1966,https://boxd.it/29B4
2023-05-26,Autumn Sonata,1978,https://boxd.it/1Rio
2023-05-27,M,1931,https://boxd.it/29vq
2023-06-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-15,Father of the Bride,1991,https://boxd.it/1SWY
2023-06-17,My Dinner with Andre,1981,https://boxd.it/1vLe
2023-06-18,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2023-06-21,Hoodwinked!,2005,https://boxd.it/1UVS
2023-06-21,A Charlie Brown Christmas,1965,https://boxd.it/1QDq
2023-06-21,"It's the Great Pumpkin, Charlie Brown",1966,https://boxd.it/1Qmu
2023-06-21,Home Alone,1990,https://boxd.it/29Fg
2023-06-21,The Hangover,2009,https://boxd.it/1GjK
