Date,Name,Year,Letterboxd URI,Rating
2022-01-05,Django Unchained,2012,https://boxd.it/2cCk,4
2022-01-05,The Lighthouse,2019,https://boxd.it/icFU,3.5
2022-01-05,1917,2019,https://boxd.it/jj4y,4
2022-01-05,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-01-27,Twin Peaks,1989,https://boxd.it/g8pk,5
2022-03-20,Shutter Island,2010,https://boxd.it/1U82,3.5
2022-03-20,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-09-21,Interstellar,2014,https://boxd.it/4VZ8,4.5
2022-09-23,Drive My Car,2021,https://boxd.it/sv94,4.5
2022-09-23,The Mist,2007,https://boxd.it/22r2,4
2022-11-14,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2022-12-24,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-01-03,Sorry to Bother You,2018,https://boxd.it/f21E,3.5
2023-01-12,Glass Onion,2022,https://boxd.it/oCkK,3
2023-01-19,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,5
2023-01-19,About Time,2013,https://boxd.it/43bI,5
2023-01-19,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2023-01-19,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2023-01-19,Uncut Gems,2019,https://boxd.it/gXGc,3
2023-01-19,Taxi Driver,1976,https://boxd.it/2b8y,4
2023-01-27,¡Three Amigos!,1986,https://boxd.it/20f4,3
2023-01-29,It Follows,2014,https://boxd.it/87wo,2
2023-01-30,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-01-30,The Florida Project,2017,https://boxd.it/dMG0,3.5
2023-01-30,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-02-07,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2
2023-02-07,The Breakfast Club,1985,https://boxd.it/27q4,3
2023-02-07,Thank You for Smoking,2005,https://boxd.it/1YOc,4
2023-02-07,Barbarian,2022,https://boxd.it/yohi,4.5
2023-02-07,Moon,2009,https://boxd.it/1IGQ,3.5
2023-02-07,North by Northwest,1959,https://boxd.it/2aRM,4
2023-02-07,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-02-11,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2023-02-13,The Princess Bride,1987,https://boxd.it/26EY,3
2023-02-13,Fire of Love,2022,https://boxd.it/yoPY,4
2023-02-15,Office Space,1999,https://boxd.it/28Em,3.5
2023-02-19,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
